product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link,trending_score,tags
3152291,Hướng Dẫn Giao Dịch Theo Sóng Elliott,Không rõ,369000,369000,4497.0,"Sách tài chính, tiền tệ",547,4.8,378,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/84/48/43/c93a2cabecd678a4e7c5296a03a2b9bf.jpg,30.270121377350474,"không rõ, sách tài chính, tiền tệ"
160488880,OKR - Từ Chiến Lược Mục Tiêu Đến Kết Quả Then Chốt,Masaru Amono,129000,92000,132.0,"Sách quản trị, lãnh đạo",13,4.8,204,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/6c/b5/7b/fd66adaa6a58ea1e796a71eb19a0cddb.jpg,12.66747518215324,"masaru amono, sách quản trị, lãnh đạo"
16391543,Cha Voi - Dạy Con Nên Người Ở Thời Đại Số,Trương Nguyện Thành,150000,100500,4480.0,Sách Làm Cha Mẹ,257,5.0,332,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/07/47/8d/d096ad19f102b727476b63dd9300f785.jpg,27.764797924608086,"trương nguyện thành, sách làm cha mẹ"
15499818,Bộ sách Thay thói quen – Đổi vận mệnh,Alan Phan,158000,158000,1585.0,Sách tư duy - Kỹ năng sống,210,4.8,385,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/99/fb/99/2e8a3bd8f10da663f02622147c2847fa.png,25.688919040685118,"alan phan, sách tư duy kỹ năng sống"
10694714,"Làm Chủ Tư Duy, Thay Đổi Vận Mệnh (Tái Bản 2019)",Adam Khoo,165000,131700,1.0,Sách kỹ năng làm việc,0,0.0,,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/31/b9/45/e1ed49b7382daddf313548c73eaadb66.jpg,0.0,"adam khoo, sách kỹ năng làm việc"
204771676,Ngôi nhà trông về phía biển & chuyện ngày sau,Mizuki Harada,265000,211000,24.0,Truyện ngắn - Tản văn - Tạp Văn,2,5.0,668,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/95/4d/1f/6d37eb2b104a7b724f96ed17264ba0d7.png,5.493061443340549,"mizuki harada, truyện ngắn tản văn tạp văn"
26168610,Sherlock Holmes (Boxset Trọn Bộ 3 Tập),Sir Arthur Conan Doyle,345000,246000,2908.0,Truyện trinh thám,795,4.7,2004,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/61/5e/d5/a63715be6bb3447e3ee6221f59f9d858.jpg,31.3941161734686,"sir arthur conan doyle, truyện trinh thám"
162205263,Những Đồ Vật Có Linh Hồn,Tống Ngọc ,149000,105000,1310.0,Truyện kinh dị,407,4.7,304,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/c1/40/41/f99ba0eb0d238989f17ab7842587f21d.png,28.25295571969956,"tống ngọc , truyện kinh dị"
874800,Ông Già Và Biển Cả,Không rõ,42000,30000,173.0,Tác phẩm kinh điển,22,4.8,143,Không rõ,https://salt.tikicdn.com/media/catalog/product/o/n/ong-gia-va-bien-ca-bia.u5567.d20170831.t183352.631631.jpg,15.050372236459918,"không rõ, tác phẩm kinh điển"
76541999,Tăng tốc luyện đề thi Đánh giá năng lực (theo cấu trúc đề thi của Đại học Quốc gia TP. Hồ Chí Minh),Minh Tâm,225000,180000,1843.0,Sách Luyện Thi Đại Học - Cao Đẳng,465,5.0,460,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,https://salt.tikicdn.com/ts/product/97/19/cc/b33b809802bc7d5eba1f846a84d5b14c.jpeg,30.720928170628227,"minh tâm, sách luyện thi đại học cao đẳng"
55064570,Người Truyền Ký Ức (Giải Thưởng Boston Globe-Horn Book)(Tái Bản 2020),Lois Lowry,80000,48000,58.0,Tiểu Thuyết,9,4.7,248,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/6b/a9/64/d5df4283840116fafc320292d8c547d6.jpg,10.822149937072016,"lois lowry, tiểu thuyết"
6010325,Dưới Bóng Những Cô Gái Đương Hoa,Marcel Proust,179000,98450,992.0,Tiểu Thuyết,63,4.7,600,Không rõ,https://salt.tikicdn.com/ts/product/0c/64/7c/1f8193a1a42b10d0804b651252e61b3e.jpg,19.54675049179046,"marcel proust, tiểu thuyết"
155115301,"Bộ ""Chuyện xóm gà"" 2",Christian Jolibois,348000,220001,432.0,Truyện tranh thiếu nhi,58,5.0,,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/18/5d/ff/86c8faeaa7331f1ec967186aa361be27.jpg,20.387687219528598,"christian jolibois, truyện tranh thiếu nhi"
186286174,Trại Hoa Vàng (Tái Bản 2022),Nguyễn Nhật Ánh,50000,35600,130.0,Truyện ngắn - Tản văn - Tạp Văn,13,4.7,292,Nhà Xuất Bản Trẻ,https://salt.tikicdn.com/ts/product/d7/a6/ee/79fd14dfc33039fe1021f82355af6910.jpg,12.403569449191714,"nguyễn nhật ánh, truyện ngắn tản văn tạp văn"
